CODE_ARTICE;LIBELLE;id_fta;date_derniere_maj_fta
11467;"NEM POULET 50G X20 AUCHAN";742;"2006-06-09"
11512;"PETITES SAUCES IMPERIALES LX";216;"2004-11-08"
11707;"RAVIOLI CHINOIS 15G COUPE";187;"2006-03-21"
11715;"QUESADILLAS 25G COUPE";238;"2005-08-22"
21002;"MINI NEM PORC 30G X6";748;"2006-06-09"
21010;"BEIGNET DE CREVETTE PAR 6 UF";749;"2006-06-09"
21013;"SAMOSSA 25G UF ASIA X6";751;"2006-06-09"
21014;"RIZ CANTONAIS X6 FE NEUTRE";752;"2006-06-09"
21015;"RIZ CANTONAIS UF + 20% GRATUIT";753;"2006-06-09"
21016;"MINI NEM X10 DONT 2 GRATUITS";754;"2006-06-09"
21018;"NEM 75G PORC X8 SAUCE NUOC MAM";756;"2006-06-09"
21019;"CRABE FARCI X2";757;"2006-06-09"
21025;"NOUGAT CHINOIS";759;"2006-06-09"
21027;"NEM 75G X8 + 2 GRATUITS";760;"2006-06-09"
21030;"SAUCE NUOC MAM BOCAL";761;"2006-06-09"
21041;"BOX SOUFFLE CREVETTE";762;"2006-06-09"
21042;"RIZ CANTONAIS LOT X2 UF ASIA";763;"2006-06-09"
21043;"NEM 75G 6+2G UF ASIA";764;"2006-06-09"
21046;"MINI NEM PORC 20G X16";765;"2006-06-09"
21055;"MINI NEM PAR 20";766;"2006-06-09"
21061;"NEM 30G X14 + NUOC MAM";768;"2006-06-09"
21064;"NEM 75G X6 + 1 GRATUIT";769;"2006-06-09"
21068;"NEM 75G X10 + NUOC MAM";770;"2006-06-09"
21069;"LONG PAO 25G X6";771;"2006-06-09"
21070;"MINI NEM CRABE X10 DONT 2 GR";772;"2006-06-09"
21071;"NEM CRABE 30G X14 + NUOC MAM";773;"2006-06-09"
21076;"RIZ CANTONAIS 300G X12";774;"2006-06-09"
21077;"ACRA DE MORUE 30G X6";775;"2006-06-09"
21078;"BEIGNET DE CREVETTE 30G X6";776;"2006-06-09"
21080;"MINI NEM CREVETTE 30G X6";777;"2006-06-09"
21081;"MINI NEM POULET 30G X6";778;"2006-06-09"
21082;"NEM 75G PORC X2";779;"2006-06-09"
21083;"MINI NEM PORC 40G X6";780;"2006-06-09"
21084;"NEM 20G COCKTAIL X10";781;"2006-06-09"
21087;"PLATEAU CHINOIS 400G AUCHAN";783;"2006-06-09"
21088;"PLATEAU REPAS 2 PERSONNES";784;"2006-06-09"
21089;"ASSORTIMENT CUIT-VAPEUR";785;"2006-06-09"
21090;"PLATEAU DU DRAGON";786;"2006-06-09"
21096;"NEM 30G PORC X6 FE NEUTRE";787;"2006-06-09"
21097;"NEM 30G CRABE X6 FE NEUTRE";788;"2006-06-09"
21098;"NEM 20G PORC X20 FE NEUTRE";789;"2006-06-09"
21102;"PLATEAU SAVEUR EXOTIQUE FE NEUTRE";790;"2006-06-09"
21103;"NEM 75G PORC X6 FE NEUTRE";791;"2006-06-09"
21104;"NEM CRABE 75G X4 FE NEUTRE";792;"2006-06-09"
21109;"SAMOSSA VOLAILLE 55G X2 FE NEUTRE";793;"2006-06-09"
21210;"CHIPS CREVETTE LSTDA";209;"2004-06-23"
21355;"ASS ASIATIQUE DONT 10% GR CASINO";810;"2006-06-09"
21501;"SHAOMAI AU BOEUF";818;"2006-06-09"
21502;"GYOZA AU PORC";819;"2006-06-09"
21603;"NEM 20G PORC X10 AUCHAN";823;"2006-06-09"
21611;"PLATEAU APERITIF 420G AUCHAN";831;"2006-06-09"
21612;"PLATEAU ASS CHINOIS 780G AUCHAN";832;"2006-06-09"
21614;"PASTILLAS 80G AUCHAN";834;"2006-06-09"
21620;"NEM 75G PORC X8 DONT 2 GRATUITS AUCHAN";837;"2006-06-09"
21626;"NEM 75G PORC X8 AUCHAN DT 2 GRATUITS";843;"2006-06-09"
21627;"NEM 75G POULET X8 AUCHAN DT 2 GRATUITS";844;"2006-06-09"
21628;"NEM 75G CREVETTE X8 AUCHAN DT 2 GRATUITS";845;"2006-06-09"
21629;"PLATEAU ASIA AUCHAN 6X260G";846;"2006-06-09"
21630;"PLATEAU INDIEN AUCHAN 6X260G";847;"2006-06-09"
21631;"PLATEAU CREOLE AUCHAN 6X260G";848;"2006-06-09"
21633;"NEM CREVETTE 75G X8 + 4 GRATUITS MDAUC";850;"2006-06-09"
21634;"NEM PORC 75G X8 + 4 GRATUITS MDAUC";851;"2006-06-09"
21635;"NEM POULET 75G X8 + 4 GRATUITS MDAUC";852;"2006-06-09"
21711;"RAVIOLI 25G X8 FE NEUTRE";853;"2006-06-09"
21853;"PETITS PATES IMPERIAUX";863;"2006-06-09"
21910;"NEM PORC 75G X4 - LIDL";865;"2006-06-09"
21930;"ASS ASIATIQUE NEUTRE";867;"2006-06-09"
21934;"GAMBAS ROYALES 70G x4 MDNETTO";868;"2006-06-09"
22005;"RAV AUX CEPES TR";870;"2006-06-09"
22007;"RAVIOLI JAMBON/POTIRON TR";871;"2006-06-09"
23602;"SAUCE MORILLES LOISEAU";28;"2004-05-19"
23604;"SAUCE GD VENEUR GRIOTTES LOISEAU";91;"2002-11-26"
23605;"SAUCE FOIE GRAS LOISEAU";95;"2004-05-19"
23606;"SCE AMERICAINE LSBL";130;"2004-05-19"
30000;"ASSORTIMENT TEX-MEX";880;"2006-06-09"
30004;"ASSORTIMENT INDIEN";881;"2006-06-09"
30007;"ASSORTIMENT VIETNAMIEN";882;"2006-06-09"
30010;"ASSORTIMENT CREOLE";883;"2006-06-09"
30013;"ASSORTIMENT GREC";884;"2006-06-09"
30017;"ASSORTIMENT MEDITERRANEEN";885;"2006-06-09"
30021;"ASS CREOLE 180G FE NEUTRE";886;"2006-06-09"
30022;"ASS GREC 180G FE NEUTRE";887;"2006-06-09"
30023;"ASS INDIEN 180G FE NEUTRE";888;"2006-06-09"
30024;"ASS TEX MEX 180G FE NEUTRE";889;"2006-06-09"
30025;"ASS VIETNAMIEN 180G FE NEUTRE";890;"2006-06-09"
30150;"ASS TEX MEX 180G LS SDA";891;"2006-06-09"
30151;"ASS INDIEN 180G LS SDA";892;"2006-06-09"
30152;"ASS CHINOIS 180G LS SDA";893;"2006-06-09"
30153;"ASS CREOLE 180G LS SDA";894;"2006-06-09"
30154;"ASS GREC 180G LS SDA";895;"2006-06-09"
32038;"GRATIN POMME DE TERRE TRUFFEE 800G";896;"2006-06-09"
32131;"POMME DE TERRE TRUFFEE 400G";897;"2006-06-09"
32660;"POMMES PAYSANNES 8X300G AUCHAN";900;"2006-06-09"
32683;"TARTIFLETTE 800G DONT 15% GRATUITS";902;"2006-06-09"
32684;"HACHIS PARMENTIER 800G DONT 33% GRATUIT";903;"2006-06-09"
32685;"TARTIFLETTE 800G DONT 33% GRATUITS";904;"2006-06-09"
35009;"NOIX ST JACQUES CREME HOMARD MDCAR";908;"2006-06-09"
35057;"CHAPON AU FOIE GRAS MARRONS LS";913;"2006-06-09"
